,title,heading,Description,token
129,SINGLE SERVE FLEX,Smartfood Flavored Popcorn White Cheddar 2 Oz,"The predicted units for SINGLE SERVE FLEX is 6.045514159295 and actual unit is 24, The net gap is 0The average unit revenue for SINGLE SERVE FLEX is 1.56The flavour code for SINGLE SERVE FLEX is 31 with size XXVLThe flavour description is CHS/MED CONQUES and item description is Smartfood Flavored Popcorn White Cheddar 2 Oz for SINGLE SERVE FLEX",101
130,KETTLE,Lay's Kettle Cooked Potato Chips Original 8 Oz,"The predicted units for KETTLE is 8.96459829750523 and actual unit is 49, The net gap is 0The average unit revenue for KETTLE is 2.49The flavour code for KETTLE is 142 with size XLThe flavour description is KTLCOK REG and item description is Lay's Kettle Cooked Potato Chips Original 8 Oz for KETTLE",82
131,RUFFLES,Ruffles Potato Chips Flamin' Hot BBQ Flavored 8 Oz,"The predicted units for RUFFLES is 8.67000784874728 and actual unit is 0, The net gap is 8.67000784874728The average unit revenue for RUFFLES is 2.95The flavour code for RUFFLES is 278 with size XXLThe flavour description is OPEN TO USE and item description is Ruffles Potato Chips Flamin' Hot BBQ Flavored 8 Oz for RUFFLES",91
132,DORITOS,Doritos 3D Crunch Corn Snacks Chili Cheese Nacho Flavored 6 Oz,"The predicted units for DORITOS is 5.2274107072891 and actual unit is 0, The net gap is 5.2274107072891The average unit revenue for DORITOS is 2.76The flavour code for DORITOS is 508 with size XXLThe flavour description is CHILLI CHEESE NACHO and item description is Doritos 3D Crunch Corn Snacks Chili Cheese Nacho Flavored 6 Oz for DORITOS",102
133,DORITOS,Doritos 3D Crunch Flavored Corn Snacks Spicy Ranch Flavored 6 Oz,"The predicted units for DORITOS is 5.5644118416365 and actual unit is 4, The net gap is 1.5644118416365The average unit revenue for DORITOS is 2.84The flavour code for DORITOS is 275 with size XXLThe flavour description is SPICY JAL RANCH and item description is Doritos 3D Crunch Flavored Corn Snacks Spicy Ranch Flavored 6 Oz for DORITOS",101
134,FRITOS,Fritos Flavor Twists Corn Snacks Honey BBQ Flavored 9.25 Oz,"The predicted units for FRITOS is 15.5116400434146 and actual unit is 72.5, The net gap is 0The average unit revenue for FRITOS is 2.96The flavour code for FRITOS is 6 with size XLThe flavour description is HNY BBQ/MIX and item description is Fritos Flavor Twists Corn Snacks Honey BBQ Flavored 9.25 Oz for FRITOS",87
135,CRUNCHY CHEETOS,Cheetos Crunchy Cheese Flavored Snacks Xxtra Flamin' Hot 8 1/2 Oz,"The predicted units for CRUNCHY CHEETOS is 27.0826496751416 and actual unit is 140, The net gap is 0The average unit revenue for CRUNCHY CHEETOS is 2.93The flavour code for CRUNCHY CHEETOS is 41 with size XLThe flavour description is SCO/HOT/BTR TOFF/FIESTA C and item description is Cheetos Crunchy Cheese Flavored Snacks Xxtra Flamin' Hot 8 1/2 Oz for CRUNCHY CHEETOS",116
136,PUFF CHEETOS,Cheetos Puffs Cheese Flavored Snacks 8 Oz,"The predicted units for PUFF CHEETOS is 79.6634038476137 and actual unit is 179, The net gap is 0The average unit revenue for PUFF CHEETOS is 2.95The flavour code for PUFF CHEETOS is 9 with size XLThe flavour description is JUMBO PUFFS/BBQ/ALMN and item description is Cheetos Puffs Cheese Flavored Snacks 8 Oz for PUFF CHEETOS",98
137,PUFF CHEETOS,Cheetos Paws Cheese Flavored Snacks 7 1/2 Oz,"The predicted units for PUFF CHEETOS is 5.32317586249865 and actual unit is 10, The net gap is 0The average unit revenue for PUFF CHEETOS is 3.69The flavour code for PUFF CHEETOS is 12 with size XLThe flavour description is PAW/KINGSIZE and item description is Cheetos Paws Cheese Flavored Snacks 7 1/2 Oz for PUFF CHEETOS",95
138,DIPS,Fritos Cheese Dip Mild Cheddar Flavored 9 Oz,"The predicted units for DIPS is 8.21552099442516 and actual unit is 0, The net gap is 8.21552099442516The average unit revenue for DIPS is 2.51The flavour code for DIPS is 65 with size LCANThe flavour description is CHC BROWNIE/MILD/FDG CHO and item description is Fritos Cheese Dip Mild Cheddar Flavored 9 Oz for DIPS",93
139,SINGLE SERVE FLEX,Smartfood Flavored Popcorn White Cheddar 5/8 Oz,"The predicted units for SINGLE SERVE FLEX is 82.6332233413377 and actual unit is 216, The net gap is 0The average unit revenue for SINGLE SERVE FLEX is 0.33The flavour code for SINGLE SERVE FLEX is 31 with size SVL-RETAILThe flavour description is CHS/MED CONQUES and item description is Smartfood Flavored Popcorn White Cheddar 5/8 Oz for SINGLE SERVE FLEX",108
140,TOSTITOS,Tostitos Tortilla Chips Multigrain Scoops 10 Oz,"The predicted units for TOSTITOS is 5.38313693835734 and actual unit is 24.5, The net gap is 0The average unit revenue for TOSTITOS is 2.85The flavour code for TOSTITOS is 767 with size XXLThe flavour description is MULTGRAIN SCPS and item description is Tostitos Tortilla Chips Multigrain Scoops 10 Oz for TOSTITOS",92
141,CHESTER'S PUFFCORN,Chester's Puffcorn Puffed Corn Snacks Flamin' Hot Flavored 4.25 Oz,"The predicted units for CHESTER'S PUFFCORN is 9.08295766061749 and actual unit is 0, The net gap is 9.08295766061749The average unit revenue for CHESTER'S PUFFCORN is 1.68The flavour code for CHESTER'S PUFFCORN is 899 with size 2VALUE LINEThe flavour description is PUF HOT and item description is Chester's Puffcorn Puffed Corn Snacks Flamin' Hot Flavored 4.25 Oz for CHESTER'S PUFFCORN",120
142,LAYS,Lay's Wavy Lightly Salted Potato Chips Original 7 1/2 Oz,"The predicted units for LAYS is 5.82534627606762 and actual unit is 6, The net gap is 0The average unit revenue for LAYS is 3.3The flavour code for LAYS is 40 with size XLThe flavour description is WAVY LIGHTLY SALTED and item description is Lay's Wavy Lightly Salted Potato Chips Original 7 1/2 Oz for LAYS",88
143,LAYS,Lay's Wavy Potato Chips Original 7 3/4 Oz,"The predicted units for LAYS is 20.4606883798971 and actual unit is 66, The net gap is 0The average unit revenue for LAYS is 2.39The flavour code for LAYS is 14 with size XLThe flavour description is WVLB/SPYCHS and item description is Lay's Wavy Potato Chips Original 7 3/4 Oz for LAYS",82
144,MULTIPACK,Frito Lay Flavor Mix Variety 26 1/2 Oz 28 Count Party Size,"The predicted units for MULTIPACK is 5.85046007039052 and actual unit is 8, The net gap is 0The average unit revenue for MULTIPACK is 12.54The flavour code for MULTIPACK is 509 with size VALUE VPThe flavour description is FUN MIX and item description is Frito Lay Flavor Mix Variety 26 1/2 Oz 28 Count Party Size for MULTIPACK",88
145,LAYS,Lay's Potato Chips Cheddar & Sour Cream 7 3/4 Oz,"The predicted units for LAYS is 14.539683128519 and actual unit is 35.5, The net gap is 0The average unit revenue for LAYS is 2.36The flavour code for LAYS is 45 with size XLThe flavour description is CHEDDAR AND SOUR CREAM and item description is Lay's Potato Chips Cheddar & Sour Cream 7 3/4 Oz for LAYS",88
146,LAYS,Lay's Potato Chips Limon Flavored 12 1/2 Oz,"The predicted units for LAYS is 5.82685466754347 and actual unit is 0, The net gap is 5.82685466754347The average unit revenue for LAYS is 3.99The flavour code for LAYS is 82 with size PARTY SIZEThe flavour description is LIMON/PNT BTR CHS/VAN CRM and item description is Lay's Potato Chips Limon Flavored 12 1/2 Oz for LAYS",100
147,CRUNCHY CHEETOS,Cheetos Crunchy Cheese Flavored Snacks 15 Oz,"The predicted units for CRUNCHY CHEETOS is 9.46654797828071 and actual unit is 28, The net gap is 0The average unit revenue for CRUNCHY CHEETOS is 4.53The flavour code for CRUNCHY CHEETOS is 31 with size PARTY SIZEThe flavour description is CHS/MED CONQUES and item description is Cheetos Crunchy Cheese Flavored Snacks 15 Oz for CRUNCHY CHEETOS",101
148,SINGLE SERVE FLEX,Lay's Potato Chips Classic 2 5/8 Oz,"The predicted units for SINGLE SERVE FLEX is 47.4670203737154 and actual unit is 89.5, The net gap is 0The average unit revenue for SINGLE SERVE FLEX is 1.46The flavour code for SINGLE SERVE FLEX is 11 with size XXVLThe flavour description is REG and item description is Lay's Potato Chips Classic 2 5/8 Oz for SINGLE SERVE FLEX",97
149,SINGLE SERVE FLEX,Doritos Tortilla Chips Cool Ranch Flavored 2 3/4 Oz,"The predicted units for SINGLE SERVE FLEX is 13.3669718041615 and actual unit is 51, The net gap is 0The average unit revenue for SINGLE SERVE FLEX is 1.46The flavour code for SINGLE SERVE FLEX is 8 with size XXVLThe flavour description is RANCH/COOL RANCH and item description is Doritos Tortilla Chips Cool Ranch Flavored 2 3/4 Oz for SINGLE SERVE FLEX",108
150,SINGLE SERVE FLEX,Fritos Flavored Corn Chips Chili Cheese 3.5 Oz,"The predicted units for SINGLE SERVE FLEX is 7.00147405088766 and actual unit is 0, The net gap is 7.00147405088766The average unit revenue for SINGLE SERVE FLEX is 1.49The flavour code for SINGLE SERVE FLEX is 7 with size XXVLThe flavour description is CHILI CHEESE and item description is Fritos Flavored Corn Chips Chili Cheese 3.5 Oz for SINGLE SERVE FLEX",110
151,KETTLE,Lay's Kettle Cooked Potato Chips Sea Salt & Vinegar Flavored 8 Oz,"The predicted units for KETTLE is 5.81401481395889 and actual unit is 7, The net gap is 0The average unit revenue for KETTLE is 2.49The flavour code for KETTLE is 25 with size XLThe flavour description is KTC SLT&VIN/RG MINI/CHDR and item description is Lay's Kettle Cooked Potato Chips Sea Salt & Vinegar Flavored 8 Oz for KETTLE",99
152,PUFF CHEETOS,Cheetos Puffs Cheese Flavored Snacks Flamin' Hot Flavored 8 Oz,"The predicted units for PUFF CHEETOS is 85.8521164741733 and actual unit is 85, The net gap is 0.8521164741733The average unit revenue for PUFF CHEETOS is 2.96The flavour code for PUFF CHEETOS is 71 with size XLThe flavour description is HOT/ HOT WINGS/ CHO CHP and item description is Cheetos Puffs Cheese Flavored Snacks Flamin' Hot Flavored 8 Oz for PUFF CHEETOS",111
153,LAYS,Lay's Poppables Flavored Potato Snacks White Cheddar 5 Oz,"The predicted units for LAYS is 5.27796885885935 and actual unit is 24, The net gap is 0The average unit revenue for LAYS is 2.37The flavour code for LAYS is 477 with size XLThe flavour description is WHITE CHEDDAR and item description is Lay's Poppables Flavored Potato Snacks White Cheddar 5 Oz for LAYS",84
154,SMARTFOOD POPCORN,Smartfood Flavored Popcorn Caramel & Cheddar Mix 7 Oz,"The predicted units for SMARTFOOD POPCORN is 5.47686414830817 and actual unit is 6, The net gap is 0The average unit revenue for SMARTFOOD POPCORN is 2.67The flavour code for SMARTFOOD POPCORN is 426 with size XLThe flavour description is MIX CHEESE & CARAMEL and item description is Smartfood Flavored Popcorn Caramel & Cheddar Mix 7 Oz for SMARTFOOD POPCORN",102
155,POPCORNERS,PopCorners The Crunchy And Wholesome Popped-Corn Snack Sweet & Salty Kettle Corn 7 Oz,"The predicted units for POPCORNERS is 9.29617126903868 and actual unit is 3.5, The net gap is 5.79617126903868The average unit revenue for POPCORNERS is 2.87The flavour code for POPCORNERS is 186 with size XLThe flavour description is KETTLE CRN and item description is PopCorners The Crunchy And Wholesome Popped-Corn Snack Sweet & Salty Kettle Corn 7 Oz for POPCORNERS",107
156,BARE,Bare Baked Crunchy Simply Banana Chips 2.7 Oz,"The predicted units for BARE is 5.25259929262368 and actual unit is 0, The net gap is 5.25259929262368The average unit revenue for BARE is 2.99The flavour code for BARE is 312 with size PREMIUM MULTI SERVEThe flavour description is BANANA and item description is Bare Baked Crunchy Simply Banana Chips 2.7 Oz for BARE",90
157,ROLD GOLD,Rold Gold Tiny Twists Pretzels Cheddar 10 Oz,"The predicted units for ROLD GOLD is 5.26376536941944 and actual unit is 0, The net gap is 5.26376536941944The average unit revenue for ROLD GOLD is 2.5The flavour code for ROLD GOLD is 25 with size XLThe flavour description is KTC SLT&VIN/RG MINI/CHDR and item description is Rold Gold Tiny Twists Pretzels Cheddar 10 Oz for ROLD GOLD",99
158,DIPS,Lay's Dip Smooth Ranch 15 Oz,"The predicted units for DIPS is 7.99443611865045 and actual unit is 30, The net gap is 0The average unit revenue for DIPS is 3.49The flavour code for DIPS is 313 with size QUESO DIPThe flavour description is RANCH DIP and item description is Lay's Dip Smooth Ranch 15 Oz for DIPS",76
159,SINGLE SERVE FLEX,Ruffles Potato Chips Cheddar & Sour Cream Flavored 1 Oz,"The predicted units for SINGLE SERVE FLEX is 73.0883127333303 and actual unit is 24, The net gap is 49.0883127333303The average unit revenue for SINGLE SERVE FLEX is 0.33The flavour code for SINGLE SERVE FLEX is 45 with size SVL-RETAILThe flavour description is CHEDDAR AND SOUR CREAM and item description is Ruffles Potato Chips Cheddar & Sour Cream Flavored 1 Oz for SINGLE SERVE FLEX",115
160,LAYS,Lay's Potato Chips Cheddar & Sour Cream 7 3/4 Oz,"The predicted units for LAYS is 16.750718731285 and actual unit is 24, The net gap is 0The average unit revenue for LAYS is 2.33The flavour code for LAYS is 45 with size XLThe flavour description is CHEDDAR AND SOUR CREAM and item description is Lay's Potato Chips Cheddar & Sour Cream 7 3/4 Oz for LAYS",85
161,LAYS,Lay's Potato Chips Honey Barbecue 7 3/4 Oz,"The predicted units for LAYS is 6.58369780886219 and actual unit is 12, The net gap is 0The average unit revenue for LAYS is 3.2The flavour code for LAYS is 6 with size XLThe flavour description is HNY BBQ/MIX and item description is Lay's Potato Chips Honey Barbecue 7 3/4 Oz for LAYS",82
162,LAYS,Lay's Potato Chips Cheddar Jalapeno Flavored 7 3/4 Oz,"The predicted units for LAYS is 5.59681781941096 and actual unit is 34.5, The net gap is 0The average unit revenue for LAYS is 2.4The flavour code for LAYS is 67 with size XLThe flavour description is CHEDDAR/POPPIN JALAPENO and item description is Lay's Potato Chips Cheddar Jalapeno Flavored 7 3/4 Oz for LAYS",94
163,SINGLE SERVE FLEX,Doritos Tortilla Chips Nacho Cheese Flavored 2 3/4 Oz,"The predicted units for SINGLE SERVE FLEX is 61.6503151879717 and actual unit is 117, The net gap is 0The average unit revenue for SINGLE SERVE FLEX is 1.46The flavour code for SINGLE SERVE FLEX is 33 with size XXVLThe flavour description is NAC/RAN WAV/BEF TRK/PNT S and item description is Doritos Tortilla Chips Nacho Cheese Flavored 2 3/4 Oz for SINGLE SERVE FLEX",115
164,KETTLE,Lay's Kettle Cooked Potato Chips Sea Salt & Cracked Pepper Flavored 8 Oz,"The predicted units for KETTLE is 5.31802417196374 and actual unit is 0, The net gap is 5.31802417196374The average unit revenue for KETTLE is 2.85The flavour code for KETTLE is 876 with size XLThe flavour description is SALT AND PEPPER and item description is Lay's Kettle Cooked Potato Chips Sea Salt & Cracked Pepper Flavored 8 Oz for KETTLE",99
165,FRITOS,Fritos Flavored Corn Chips Flamin' Hot 9 1/4 Oz,"The predicted units for FRITOS is 11.0941352514574 and actual unit is 15, The net gap is 0The average unit revenue for FRITOS is 3.01The flavour code for FRITOS is 71 with size XLThe flavour description is HOT/ HOT WINGS/ CHO CHP and item description is Fritos Flavored Corn Chips Flamin' Hot 9 1/4 Oz for FRITOS",88
166,CRUNCHY CHEETOS,Cheetos Crunchy Cheese Flavored Snacks Xxtra Flamin' Hot 8 1/2 Oz,"The predicted units for CRUNCHY CHEETOS is 8.9283460552192 and actual unit is 5, The net gap is 3.9283460552192The average unit revenue for CRUNCHY CHEETOS is 3.61The flavour code for CRUNCHY CHEETOS is 41 with size XLThe flavour description is SCO/HOT/BTR TOFF/FIESTA C and item description is Cheetos Crunchy Cheese Flavored Snacks Xxtra Flamin' Hot 8 1/2 Oz for CRUNCHY CHEETOS",123
167,DIPS,Fritos Bean Dip Original Flavor 3.125 Oz,"The predicted units for DIPS is 9.82204068039323 and actual unit is 12, The net gap is 0The average unit revenue for DIPS is 0.72The flavour code for DIPS is 61 with size SCANThe flavour description is FRE STK/BEAN/BEF JRK and item description is Fritos Bean Dip Original Flavor 3.125 Oz for DIPS",82
168,DIPS,Lay's Dip Smooth Ranch 15 Oz,"The predicted units for DIPS is 6.0283800323585 and actual unit is 24, The net gap is 0The average unit revenue for DIPS is 3.54The flavour code for DIPS is 313 with size QUESO DIPThe flavour description is RANCH DIP and item description is Lay's Dip Smooth Ranch 15 Oz for DIPS",74
169,LAYS,Lay's Classic Potato Chips Lightly Salted 7 3/4 Oz,"The predicted units for LAYS is 8.21509106233535 and actual unit is 42, The net gap is 0The average unit revenue for LAYS is 2.41The flavour code for LAYS is 715 with size XLThe flavour description is LIGHTLY SALTED and item description is Lay's Classic Potato Chips Lightly Salted 7 3/4 Oz for LAYS",84
170,SINGLE SERVE FLEX,Doritos Flavored Tortilla Chips Flamin' Hot Limon 2 3/4 Oz,"The predicted units for SINGLE SERVE FLEX is 6.16945112839237 and actual unit is 0, The net gap is 6.16945112839237The average unit revenue for SINGLE SERVE FLEX is 1.46The flavour code for SINGLE SERVE FLEX is 758 with size XXVLThe flavour description is HOT LIMON and item description is Doritos Flavored Tortilla Chips Flamin' Hot Limon 2 3/4 Oz for SINGLE SERVE FLEX",112
171,DIPS,Tostitos Dips Avocado Salsa 15 Oz,"The predicted units for DIPS is 6.23508382498488 and actual unit is 6, The net gap is 0.235083824984884The average unit revenue for DIPS is 3.55The flavour code for DIPS is 301 with size QUESO DIPThe flavour description is AVOC SALSA and item description is Tostitos Dips Avocado Salsa 15 Oz for DIPS",87
172,KETTLE,Lay's Kettle Cooked Potato Chips Flamin' Hot Flavored 8 Oz,"The predicted units for KETTLE is 7.19757715505465 and actual unit is 7, The net gap is 0.197577155054653The average unit revenue for KETTLE is 2.46The flavour code for KETTLE is 548 with size XLThe flavour description is FLAMING HOT/FIERY and item description is Lay's Kettle Cooked Potato Chips Flamin' Hot Flavored 8 Oz for KETTLE",98
173,SMARTFOOD POPCORN,Smartfood Popcorn White Cheddar 9 3/4 Oz,"The predicted units for SMARTFOOD POPCORN is 12.4781181052179 and actual unit is 44.5, The net gap is 0The average unit revenue for SMARTFOOD POPCORN is 3.92The flavour code for SMARTFOOD POPCORN is 31 with size PARTY SIZEThe flavour description is CHS/MED CONQUES and item description is Smartfood Popcorn White Cheddar 9 3/4 Oz for SMARTFOOD POPCORN",102
174,SINGLE SERVE FLEX,Lay's Potato Chips Limon Flavored 2 5/8 Oz,"The predicted units for SINGLE SERVE FLEX is 16.5246926133665 and actual unit is 50, The net gap is 0The average unit revenue for SINGLE SERVE FLEX is 1.48The flavour code for SINGLE SERVE FLEX is 82 with size XXVLThe flavour description is LIMON/PNT BTR CHS/VAN CRM and item description is Lay's Potato Chips Limon Flavored 2 5/8 Oz for SINGLE SERVE FLEX",111
175,SINGLE SERVE FLEX,Fritos Corn Chips The Original 3.5 Oz,"The predicted units for SINGLE SERVE FLEX is 8.92026545599089 and actual unit is 0, The net gap is 8.92026545599089The average unit revenue for SINGLE SERVE FLEX is 1.48The flavour code for SINGLE SERVE FLEX is 11 with size XXVLThe flavour description is REG and item description is Fritos Corn Chips The Original 3.5 Oz for SINGLE SERVE FLEX",101
176,SINGLE SERVE FLEX,Funyuns Onion Flavored Rings 2 1/8 Oz,"The predicted units for SINGLE SERVE FLEX is 42.1493383873471 and actual unit is 69.5, The net gap is 0The average unit revenue for SINGLE SERVE FLEX is 1.46The flavour code for SINGLE SERVE FLEX is 52 with size XXVLThe flavour description is ONION FLAVORED and item description is Funyuns Onion Flavored Rings 2 1/8 Oz for SINGLE SERVE FLEX",102
177,SINGLE SERVE FLEX,Smartfood Flavored Popcorn White Cheddar 2 Oz,"The predicted units for SINGLE SERVE FLEX is 59.5009298154948 and actual unit is 72, The net gap is 0The average unit revenue for SINGLE SERVE FLEX is 1.47The flavour code for SINGLE SERVE FLEX is 31 with size XXVLThe flavour description is CHS/MED CONQUES and item description is Smartfood Flavored Popcorn White Cheddar 2 Oz for SINGLE SERVE FLEX",102
178,TOSTITOS,Tostitos Tortilla Chips Hint of Spicy Queso Flavored 11 Oz,"The predicted units for TOSTITOS is 5.43295954146514 and actual unit is 8, The net gap is 0The average unit revenue for TOSTITOS is 2.84The flavour code for TOSTITOS is 943 with size XXLThe flavour description is SPICY QUESO and item description is Tostitos Tortilla Chips Hint of Spicy Queso Flavored 11 Oz for TOSTITOS",95
179,FRITOS,Fritos Flavor Twists Corn Snacks Honey BBQ Flavored 9.25 Oz,"The predicted units for FRITOS is 15.7650125400929 and actual unit is 91, The net gap is 0The average unit revenue for FRITOS is 2.93The flavour code for FRITOS is 6 with size XLThe flavour description is HNY BBQ/MIX and item description is Fritos Flavor Twists Corn Snacks Honey BBQ Flavored 9.25 Oz for FRITOS",86
180,CRUNCHY CHEETOS,Cheetos Crunchy Cheese Flavored Snacks Flamin' Hot Limon Flavored 8 1/2 Oz,"The predicted units for CRUNCHY CHEETOS is 44.8077077396688 and actual unit is 55, The net gap is 0The average unit revenue for CRUNCHY CHEETOS is 3.62The flavour code for CRUNCHY CHEETOS is 758 with size XLThe flavour description is HOT LIMON and item description is Cheetos Crunchy Cheese Flavored Snacks Flamin' Hot Limon Flavored 8 1/2 Oz for CRUNCHY CHEETOS",106
181,SMARTFOOD POPCORN,Smartfood Flavored Popcorn Caramel & Cheddar Mix 7 Oz,"The predicted units for SMARTFOOD POPCORN is 5.52906614449911 and actual unit is 12, The net gap is 0The average unit revenue for SMARTFOOD POPCORN is 2.72The flavour code for SMARTFOOD POPCORN is 426 with size XLThe flavour description is MIX CHEESE & CARAMEL and item description is Smartfood Flavored Popcorn Caramel & Cheddar Mix 7 Oz for SMARTFOOD POPCORN",103
182,SINGLE SERVE FLEX,Fritos Corn Chips The Original 1 Oz,"The predicted units for SINGLE SERVE FLEX is 68.8521632874676 and actual unit is 45.5, The net gap is 23.3521632874676The average unit revenue for SINGLE SERVE FLEX is 0.33The flavour code for SINGLE SERVE FLEX is 11 with size SVL-RETAILThe flavour description is REG and item description is Fritos Corn Chips The Original 1 Oz for SINGLE SERVE FLEX",106
183,HOT FRIES,Chester's Fries Corn Snacks Flamin' Hot Flavored 5 1/4 Oz,"The predicted units for HOT FRIES is 42.5574647210163 and actual unit is 27, The net gap is 15.5574647210163The average unit revenue for HOT FRIES is 1.76The flavour code for HOT FRIES is 19 with size 2VALUE LINEThe flavour description is SALVRDE/HOT FRIES and item description is Chester's Fries Corn Snacks Flamin' Hot Flavored 5 1/4 Oz for HOT FRIES",98
184,TOSTITOS,Tostitos Scoops Tortilla Chips 14.5 Oz,"The predicted units for TOSTITOS is 15.8103690232665 and actual unit is 30, The net gap is 0The average unit revenue for TOSTITOS is 3.73The flavour code for TOSTITOS is 97 with size PARTY SIZEThe flavour description is SCOOPS and item description is Tostitos Scoops Tortilla Chips 14.5 Oz for TOSTITOS",86
185,SINGLE SERVE FLEX,Funyuns Onion Flavored Rings Flamin' Hot 2 1/8 Oz,"The predicted units for SINGLE SERVE FLEX is 22.4310876217322 and actual unit is 24, The net gap is 0The average unit revenue for SINGLE SERVE FLEX is 1.48The flavour code for SINGLE SERVE FLEX is 548 with size XXVLThe flavour description is FLAMING HOT/FIERY and item description is Funyuns Onion Flavored Rings Flamin' Hot 2 1/8 Oz for SINGLE SERVE FLEX",107
186,KETTLE,Lay's Kettle Cooked Potato Chips Jalapeno Flavored 8 Oz,"The predicted units for KETTLE is 20.5121208200055 and actual unit is 42, The net gap is 0The average unit revenue for KETTLE is 2.48The flavour code for KETTLE is 5 with size XLThe flavour description is JAL KTL and item description is Lay's Kettle Cooked Potato Chips Jalapeno Flavored 8 Oz for KETTLE",85
187,BAKED RUFFLES,Ruffles Baked Potato Crisps Flamin' Hot Flavored 6 .25 Oz,"The predicted units for BAKED RUFFLES is 5.29999544217947 and actual unit is 12, The net gap is 0The average unit revenue for BAKED RUFFLES is 2.93The flavour code for BAKED RUFFLES is 71 with size XLThe flavour description is HOT/ HOT WINGS/ CHO CHP and item description is Ruffles Baked Potato Crisps Flamin' Hot Flavored 6 .25 Oz for BAKED RUFFLES",105
188,FRITOS,Fritos Flavored Corn Chips Chili Cheese 9.25 Oz,"The predicted units for FRITOS is 45.5313873687756 and actual unit is 90, The net gap is 0The average unit revenue for FRITOS is 3.05The flavour code for FRITOS is 7 with size XLThe flavour description is CHILI CHEESE and item description is Fritos Flavored Corn Chips Chili Cheese 9.25 Oz for FRITOS",82
189,FRITOS,Fritos Flavored Corn Chips Chili Cheese 9.25 Oz,"The predicted units for FRITOS is 20.3545414537203 and actual unit is 35, The net gap is 0The average unit revenue for FRITOS is 3.72The flavour code for FRITOS is 7 with size XLThe flavour description is CHILI CHEESE and item description is Fritos Flavored Corn Chips Chili Cheese 9.25 Oz for FRITOS",81
190,FRITOS,Fritos Corn Chips The Original 9.25 Oz,"The predicted units for FRITOS is 94.2622376209302 and actual unit is 143, The net gap is 0The average unit revenue for FRITOS is 2.99The flavour code for FRITOS is 11 with size XLThe flavour description is REG and item description is Fritos Corn Chips The Original 9.25 Oz for FRITOS",74
191,FRITOS,Fritos Corn Chips Lightly Salted 9.25 Oz,"The predicted units for FRITOS is 6.54325224840422 and actual unit is 15, The net gap is 0The average unit revenue for FRITOS is 3.15The flavour code for FRITOS is 715 with size XLThe flavour description is LIGHTLY SALTED and item description is Fritos Corn Chips Lightly Salted 9.25 Oz for FRITOS",83
192,PUFF CHEETOS,Cheetos Puffs Cheese Flavored Snacks 8 Oz,"The predicted units for PUFF CHEETOS is 85.6601525726577 and actual unit is 154.5, The net gap is 0The average unit revenue for PUFF CHEETOS is 2.95The flavour code for PUFF CHEETOS is 9 with size XLThe flavour description is JUMBO PUFFS/BBQ/ALMN and item description is Cheetos Puffs Cheese Flavored Snacks 8 Oz for PUFF CHEETOS",100
193,DIPS,Fritos Cheese Dip Jalapeno Cheddar 9 Oz,"The predicted units for DIPS is 5.86021247192341 and actual unit is 36, The net gap is 0The average unit revenue for DIPS is 2.5The flavour code for DIPS is 67 with size LCANThe flavour description is CHEDDAR/POPPIN JALAPENO and item description is Fritos Cheese Dip Jalapeno Cheddar 9 Oz for DIPS",85
194,HISPANIC,Sabritones Puffed Wheat Snacks Chile & Lime Flavored 4 Oz,"The predicted units for HISPANIC is 50.4414270781347 and actual unit is 132, The net gap is 0The average unit revenue for HISPANIC is 1.7The flavour code for HISPANIC is 130 with size 2VALUE LINEThe flavour description is SABRITONES and item description is Sabritones Puffed Wheat Snacks Chile & Lime Flavored 4 Oz for HISPANIC",90
195,LAYS,Lay's Potato Chips Wavy Ranch Flavored 7 1/2 Oz,"The predicted units for LAYS is 7.64711823173474 and actual unit is 22, The net gap is 0The average unit revenue for LAYS is 2.32The flavour code for LAYS is 33 with size XLThe flavour description is NAC/RAN WAV/BEF TRK/PNT S and item description is Lay's Potato Chips Wavy Ranch Flavored 7 1/2 Oz for LAYS",93
196,LAYS,Lay's Wavy Potato Chips Original 7 3/4 Oz,"The predicted units for LAYS is 21.7775198958599 and actual unit is 60, The net gap is 0The average unit revenue for LAYS is 2.37The flavour code for LAYS is 14 with size XLThe flavour description is WVLB/SPYCHS and item description is Lay's Wavy Potato Chips Original 7 3/4 Oz for LAYS",82
197,MUNCHIES,Munchies Snack Mix Flamin' Hot Flavored 8 Oz,"The predicted units for MUNCHIES is 5.51249518261091 and actual unit is 30, The net gap is 0The average unit revenue for MUNCHIES is 2.58The flavour code for MUNCHIES is 284 with size XLThe flavour description is HOT CHP MIX and item description is Munchies Snack Mix Flamin' Hot Flavored 8 Oz for MUNCHIES",82
198,SUNCHIPS,SunChips Flavored Whole Grain Snacks French Onion 7 Oz,"The predicted units for SUNCHIPS is 5.40208654641975 and actual unit is 4, The net gap is 1.40208654641975The average unit revenue for SUNCHIPS is 2.9The flavour code for SUNCHIPS is 17 with size XLThe flavour description is FR ONI/CT X-O'S and item description is SunChips Flavored Whole Grain Snacks French Onion 7 Oz for SUNCHIPS",91
